Rank,Business Name,Industry / Niche,Location,Website Status,Opportunity Score,Purchase Probability Score,Est Budget,Best Outreach Channel,Socials,Contact Info
1,Babka Goa,Artisanal Bakery & Cafe,"Anjuna, Goa",Non-existent,96,92,₹80k - ₹1.5L,Instagram DM,https://www.instagram.com/babkagoa,babkagoa@gmail.com
2,Le Plaisir,Premium Cafe & Bistro,"Pune, Maharashtra",Non-existent,95,91,₹1.2L - ₹2.5L,Email / In-Person,https://www.instagram.com/leplaisirpune,leplaisirpune@gmail.com / +91 85509 95835
3,Zido Salon,High-end Hair & Beauty,"Mumbai, Maharashtra",Non-existent,94,90,₹1.0L - ₹2.0L,Instagram DM,https://www.instagram.com/zidosalon,zidosalon@gmail.com / +91 98202 02916
4,The Vara Weddings,Luxury Destination Weddings,"Mumbai / Goa",Non-existent,93,89,₹1.5L - ₹3.0L,WhatsApp / DM,https://www.instagram.com/thevaraweddings,+91 79874 09545 / vartika@thevaraweddings.com
5,The Clearing House,Fine Dining Restaurant,"Mumbai, Maharashtra",Non-existent,92,88,₹1.5L - ₹3.0L,Email / Phone,https://www.instagram.com/hellotchbombay,+91 91375 17707 / manager@theclearinghouse.in
6,Grid7 Customs,Automotive Customization,"Thrissur, Kerala",Non-existent,91,87,₹1.0L - ₹2.0L,Instagram DM,https://www.instagram.com/grid7customs,+91 90727 19588 / info@grid7customs.in
7,Nerlu Cafe,Specialty Coffee Cafe,"Bangalore, Karnataka",Non-existent,90,86,₹80k - ₹1.5L,Email,https://www.instagram.com/nerlucafe,hello@nerlucafe.com / +91 80 41124894
8,Kefi Cafe and Bistro,Mediterranean Bistro,"Assagao, Goa",Non-existent,89,84,₹70k - ₹1.2L,Instagram DM,https://www.instagram.com/kefi_goa,keficafegoa@gmail.com / +91 73787 30564
9,One O Eight Cafe,Vegetarian Cafe & Hub,"Pune, Maharashtra",Non-existent,88,83,₹75k - ₹1.3L,WhatsApp / DM,https://www.instagram.com/oneoeightcafe,info@oneoeight.cafe / +91 90118 04770
10,Aayushi Malik Designs,Boutique Interior Design,"New Delhi, Delhi NCR",Non-existent,87,82,₹1.2L - ₹2.5L,Email / LinkedIn,https://www.instagram.com/aayushimalikdesigns,hello@aayushimalik.com / +91 99583 33918
11,Vows Weddings & Events,Destination Wedding Planner,"Goa / Mumbai",Non-existent,86,80,₹1.0L - ₹2.0L,LinkedIn / Email,https://www.instagram.com/vowsweddingsgoa,contact@vowsweddings.com / +91 84708 04805
12,Idhayaa Events,Boutique Wedding & Decor,"Jaipur, Rajasthan",Non-existent,85,79,₹80k - ₹1.5L,Instagram DM,https://www.instagram.com/idhayaa_events,idhayaaevents@gmail.com / +91 83063 55560
13,The Lazy Dog,Tourist Cafe & Lodge,"Manali, Himachal Pradesh",Non-existent,84,78,₹90k - ₹1.6L,Instagram DM / Phone,https://www.instagram.com/thelazydogmanali,thelazydogmanali@gmail.com / +91 70182 28644
14,The Corner Courtyard,Heritage Boutique Hotel,"Kolkata, West Bengal",Non-existent,83,76,₹1.2L - ₹2.2L,Email / Phone,https://www.instagram.com/hellothecornercourtyard,reservations@thecornercourtyard.com / +91 91375 17707
15,Redstone Organic Farm Stay,Boutique Eco Stay,"Panchgani, Maharashtra",Non-existent,82,75,₹70k - ₹1.3L,Instagram DM,https://www.instagram.com/redstoneorganicfarm,redstonefarm@gmail.com / +91 93253 95709
16,The Pawsh,Pet Cafe & Salon,"Pune, Maharashtra",Non-existent,80,74,₹75k - ₹1.2L,Instagram DM,https://www.instagram.com/thepawshpune,thepawshpune@gmail.com / +91 93253 95709
17,Yoga & Healing Studio,Yoga & Healing Studio,"Bangalore, Karnataka",Non-existent,79,72,₹60k - ₹1.0L,WhatsApp / Phone,https://www.instagram.com/aumyogahealingspace,aumyogahealing@gmail.com / +91 72049 23210
18,Tangerine Arts Studio,Fitness, Dance & Yoga,"Mumbai, Maharashtra",Outdated / Basic,78,70,₹80k - ₹1.4L,Email / DM,https://www.instagram.com/tangerineartsstudio,tangerineartsstudio@gmail.com / +91 98182 26202
19,Savorworks Roasters,Specialty Coffee & Chocolate,"Gurgaon, Haryana",Basic Shopify,76,68,₹1.0L - ₹2.0L,Email,https://www.instagram.com/savorworksroasters,hello@savorworks.in / +91 88005 44600
20,DTC Packers and Movers,Local Logistics Service,"Bangalore, Karnataka",Outdated Template,75,65,₹50k - ₹90k,Phone / Email,https://www.facebook.com/dtcpackersandmovers,info@dtcpackers.in / +91 80886 69669
