Rank,Business Name,Industry / Niche,Location,Website Status,Opportunity Score,Purchase Probability Score,Est Budget,WhatsApp Number,Socials,Contact Info
1,Studio Praia,Boutique Interior Design,"Panaji, Goa",Outdated / Minimal,95,91,₹1.2L - ₹2.5L,+91 93074 55687,https://www.instagram.com/studiopraia/,info@studiopraia.in
2,Sajja Weddings,Boutique Wedding Planner,"Pune, Maharashtra",Lacks Lead Gen,94,90,₹1.0L - ₹2.0L,+91 90281 81046,https://www.instagram.com/weddingplannersindia/,sajjaweddings@gmail.com
3,Bellissimo Salon & Spa,Boutique Salon & Spa,"Pune, Maharashtra",No Online Booking,93,89,₹80k - ₹1.5L,+91 76203 16644,https://www.instagram.com/thebellissimosalon/,alifia@thebellissimosalon.com
4,Kamal Kavita Interiors,Boutique Interior Design,"Jaipur, Rajasthan",Non-existent,92,88,₹1.2L - ₹2.5L,+91 73780 30157,https://www.instagram.com/kamalkavitainteriors/,kamalkavitainteriors@gmail.com
5,Crafting Memories,Boutique Wedding Planner,"Margao, Goa",Lacks Interactive Forms,91,87,₹1.0L - ₹1.8L,+91 99237 65117,https://www.instagram.com/craftingmemoriesgoa/,info@craftingmemories.in
6,Pataka Events,Destination Wedding Planner,"Panaji, Goa",Non-existent,90,86,₹1.5L - ₹2.5L,+91 99239 22806,https://www.instagram.com/patakaevents/,ayesha@pataka.co
7,Swastik Pools Gym & Cafe,Multipurpose Gym & Cafe,"Jaipur, Rajasthan",Non-existent,89,85,₹80k - ₹1.4L,+91 70414 26038,https://www.instagram.com/swastikpools1877/,swastikpools@gmail.com
8,Mauji Time Cafe,Coworking Cafe,"Pune, Maharashtra",Broken Booking System,88,83,₹90k - ₹1.6L,+91 80106 32001,https://www.instagram.com/maujitimecafe/,pune@maujicafe.com
9,Big Fat Weddings,Destination Wedding Planner,"Taleigao, Goa",Outdated Showcase,87,82,₹1.5L - ₹3.0L,+91 91300 69990,https://www.instagram.com/bigfatweddings.in/,info@bigfatweddings.in
10,The Tales of Tradition,Heritage Wedding Planner,"Margao, Goa",Slow Loading Speed,86,81,₹1.0L - ₹1.8L,+91 91130 74024,https://www.instagram.com/the.talesoftradition/,info@talesoftradition.com
11,RK Interiors,Turnkey Interior Design,"Nuvem, Goa",Outdated Visuals,85,80,₹1.0L - ₹2.0L,+91 93734 92052,https://www.instagram.com/rkinteriorsgoa/,rkinteriors@gmail.com
12,24KT Interiors,Luxury Interior Design,"Jaipur, Rajasthan",Lacks Premium Motion,84,79,₹1.5L - ₹2.8L,+91 95217 86675,https://www.instagram.com/24kt_interiors/,contact@24ktinteriors.com
13,NBP Interiors,Home Makeovers & Modulars,"Jaipur, Rajasthan",Outdated Catalog,83,78,₹80k - ₹1.5L,+91 96020 36711,https://www.instagram.com/nbpinteriors/,nbpinteriors@gmail.com
14,Solasta Stays & Banquets,Premium Hotel & Event Venue,"Pune, Maharashtra",Basic Design / No Booking,82,76,₹1.2L - ₹2.2L,+91 84848 30243,https://www.instagram.com/solastastays/,smmsolastastaysbanquets@gmail.com
15,Classique Events,Destination Wedding Planner,"Jaipur, Rajasthan",Outdated Layout,81,75,₹1.0L - ₹1.8L,+91 78000 00145,https://www.instagram.com/classiqueevents/,info@classiqueevents.in
16,Aurum Luxury Fitness Club,Gym & Wellness Club,"Bangalore, Karnataka",Lacks Branch Subpages,80,74,₹90k - ₹1.5L,+91 81474 75647,https://www.instagram.com/aurum.bangalore/,contact@aurum.fit
17,Nitrro Wellness Hub,Premium Gym & Spa,"Pune, Maharashtra",No Branch Subpages,79,72,₹1.0L - ₹2.0L,+91 93686 81111,https://www.instagram.com/nitrrofitness/,wakad@nitrro.in
18,Reynolds Weddings,Destination Wedding Planner,"Panaji, Goa",Outdated Mobile UI,78,70,₹1.0L - ₹2.0L,+91 97654 01879,https://www.instagram.com/reynoldweddings/,info@reynoldsweddings.com
19,Ocube Architects,Boutique Architectural Firm,"Jaipur, Rajasthan",Broken Mobile Portfolio,76,68,₹1.2L - ₹2.5L,+91 97840 00036,https://www.instagram.com/ocube_architects/,office@ocube.co
20,SGR Design Studio,Residential Interior Design,"Pune, Maharashtra",Non-existent,75,65,₹80k - ₹1.4L,+91 89288 83222,https://www.instagram.com/sgrdesignstudio/,sgrdesignstudio@gmail.com

